Manufacturer,Lens Family,Focal Length,Speed,Close Focus,Mount,Coverage,Image Circle,Anamorphic Squeeze,Outer Diameter,Filter Thread,Weight,Lens Type,Notes,Lens Specialty,photo,description,Hybrid
7Artisans,Fisheye,10mm,f/2.8,"6.7""",E Mount,Full Frame,,1x,N/A,N/A,1.26lbs,Prime,"Full Frame Fish Eye lens with 178 degree angle of view. <p><a href=""/lens?family=fisheye"">More Info</a></p>",Yes,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/527bf4c5-60c0-453a-9b6d-d0fe31f7f1fb/7Artisans+10mm-2.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/a4beb264-10c0-4e8c-8e2c-6b952f6d05ac/7Artisans+10mm.jpg?content-type=image%2Fjpeg","Featuring a dramatic 178° angle of view, this 10mm f/2.8 Fisheye Lens from 7artisans is an all-manual lens with a de-clicked aperture ring. Designed for Sony E-mount cameras, this lens lets you produce unique perspectives and creative distortions. Its large viewing angle is well-suited for travel, landscapes, panoramas, nighttime scenes, underwater photography, and more. This robustly built lens is constructed of 11-elements in eight-groups and one Hoya ultra-low dispersion element, which reduces chromatic aberration.",Yes
Angenieux,HR,25-250mm,T3.5,"5'7""",PL,Academy 35,,1x,136mm,N/A,10.5lbs,Zoom,"<p><a href=""/lens?family=HR"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/4b737d82-8be8-44f7-8af9-d251c75576b1/HR+Clean+UP+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/8a26ca2b-f672-408b-8c49-29808a0eab72/5S5A3832+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/ea2b7cd1-2ce3-4624-9d02-3dd479084b0d/5S5A3029+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/cd67c8d2-6d34-4d98-a9de-27d99fe30d9a/5S5A3061+copy.jpg?content-type=image%2Fjpeg","The Angénieux HR (High Resolution) zoom series represents a pivotal evolution in cinematic lens design, offering exceptional image quality, robust mechanics, and compact form. Designed in the 1980s and '90s as a step up from the earlier HP line, the HR lenses were engineered to meet the growing demands of high-resolution film and television production. Once considered cutting-edge tools for studio and location work, HR zooms have since transitioned into the vintage category, prized for their unique character, and warm tonal palette.",
Angenieux,HR,17-102mm,T2.9,"2'6""",PL,Academy 35,,1x,155mm,N/A,18lbs,Zoom,"<p><a href=""/lens?family=HR"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/4b737d82-8be8-44f7-8af9-d251c75576b1/HR+Clean+UP+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/8a26ca2b-f672-408b-8c49-29808a0eab72/5S5A3832+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/ea2b7cd1-2ce3-4624-9d02-3dd479084b0d/5S5A3029+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/cd67c8d2-6d34-4d98-a9de-27d99fe30d9a/5S5A3061+copy.jpg?content-type=image%2Fjpeg","The Angénieux HR (High Resolution) zoom series represents a pivotal evolution in cinematic lens design, offering exceptional image quality, robust mechanics, and compact form. Designed in the 1980s and '90s as a step up from the earlier HP line, the HR lenses were engineered to meet the growing demands of high-resolution film and television production. Once considered cutting-edge tools for studio and location work, HR zooms have since transitioned into the vintage category, prized for their unique character, and warm tonal palette.",
Angenieux,EZ 1,30-90mm,T2.0,2',PL or EF,Super 35,,1x,114mm,N/A,4.7lbs,Zoom,"<p><a href=""/lens?family=EZ%201"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/1b445180-c371-48bd-9716-522ea764497e/5S5A2677+copy+2-1.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/46918ea8-3dc5-4892-a6a2-95143e6eef79/5S5A2690+copy+2-1.jpg?content-type=image%2Fjpeg","The Angénieux EZ zooms are designed for flexibility across any scenario. The full set consists of 3 lenses each building on Angenieux’s cinema zoom legacy; the EZ-1 (mid focal range), EZ-2 (wide), and EZ-3 (telephoto). All versions feature interchangeable optics to support Super 35 and Full Frame formats. Their modular design also supports swappable lens mounts, making them compatible with PL or EF mount cameras. With a total range of 15mm - 250mm these zooms can cover a wide range of filming situations in a small package.",
Angenieux,EZ 1,45-135mm,T3.0,2',PL or EF,Full Frame,,1x,114mm,N/A,4.7lbs,Zoom,"<p><a href=""/lens?family=EZ%201"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/1b445180-c371-48bd-9716-522ea764497e/5S5A2677+copy+2-1.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/46918ea8-3dc5-4892-a6a2-95143e6eef79/5S5A2690+copy+2-1.jpg?content-type=image%2Fjpeg","The Angénieux EZ zooms are designed for flexibility across any scenario. The full set consists of 3 lenses each building on Angenieux’s cinema zoom legacy; the EZ-1 (mid focal range), EZ-2 (wide), and EZ-3 (telephoto). All versions feature interchangeable optics to support Super 35 and Full Frame formats. Their modular design also supports swappable lens mounts, making them compatible with PL or EF mount cameras. With a total range of 15mm - 250mm these zooms can cover a wide range of filming situations in a small package.",
Angenieux,EZ 2,15-40mm,T2.0,2',PL or EF,Super 35,,1x,114mm,N/A,4.7lbs,Zoom,"<p><a href=""/lens?family=EZ%202"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/dd963502-e549-4bcd-bcf6-43042efcecf7/EZ2+copy+2-1.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/a6f19a46-2bf5-4c70-9dae-ff6dbecf7512/EZ2+2+copy+2-1.jpg?content-type=image%2Fjpeg","The Angénieux EZ zooms are designed for flexibility across any scenario. The full set consists of 3 lenses each building on Angenieux’s cinema zoom legacy; the EZ-1 (mid focal range), EZ-2 (wide), and EZ-3 (telephoto). All versions feature interchangeable optics to support Super 35 and Full Frame formats. Their modular design also supports swappable lens mounts, making them compatible with PL or EF mount cameras. With a total range of 15mm - 250mm these zooms can cover a wide range of filming situations in a small package.",
Angenieux,EZ 2,22-60mm,T3.0,2',PL or EF,Full Frame,,1x,114mm,N/A,4.7lbs,Zoom,"<p><a href=""/lens?family=EZ%202"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/dd963502-e549-4bcd-bcf6-43042efcecf7/EZ2+copy+2-1.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/a6f19a46-2bf5-4c70-9dae-ff6dbecf7512/EZ2+2+copy+2-1.jpg?content-type=image%2Fjpeg","The Angénieux EZ zooms are designed for flexibility across any scenario. The full set consists of 3 lenses each building on Angenieux’s cinema zoom legacy; the EZ-1 (mid focal range), EZ-2 (wide), and EZ-3 (telephoto). All versions feature interchangeable optics to support Super 35 and Full Frame formats. Their modular design also supports swappable lens mounts, making them compatible with PL or EF mount cameras. With a total range of 15mm - 250mm these zooms can cover a wide range of filming situations in a small package.",
Angenieux,EZ 3,45-165mm,T2.3,4',PL or EF,Super 35,,1x,114mm,N/A,5.7lbs,Zoom,"<p><a href=""/lens?family=EZ%203"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/a543b1b0-d239-4233-a68a-439f58e813c5/ez3+2-1.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/fc61cc09-d80f-46ff-a359-2c8b79c8b84a/5S5A8811+copy+2.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/15bef951-8589-4dc7-a807-620b983f956f/5S5A8827+copy.jpg?content-type=image%2Fjpeg","The Angénieux EZ zooms are designed for flexibility across any scenario. The full set consists of 3 lenses each building on Angenieux’s cinema zoom legacy; the EZ-1 (mid focal range), EZ-2 (wide), and EZ-3 (telephoto). All versions feature interchangeable optics to support Super 35 and Full Frame formats. Their modular design also supports swappable lens mounts, making them compatible with PL or EF mount cameras. With a total range of 15mm - 250mm these zooms can cover a wide range of filming situations in a small package.",
Angenieux,EZ 3,68-250mm,T3.5,4',PL or EF,Full Frame,,1x,114mm,N/A,5.7lbs,Zoom,"<p><a href=""/lens?family=EZ%203"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/a543b1b0-d239-4233-a68a-439f58e813c5/ez3+2-1.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/fc61cc09-d80f-46ff-a359-2c8b79c8b84a/5S5A8811+copy+2.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/15bef951-8589-4dc7-a807-620b983f956f/5S5A8827+copy.jpg?content-type=image%2Fjpeg","The Angénieux EZ zooms are designed for flexibility across any scenario. The full set consists of 3 lenses each building on Angenieux’s cinema zoom legacy; the EZ-1 (mid focal range), EZ-2 (wide), and EZ-3 (telephoto). All versions feature interchangeable optics to support Super 35 and Full Frame formats. Their modular design also supports swappable lens mounts, making them compatible with PL or EF mount cameras. With a total range of 15mm - 250mm these zooms can cover a wide range of filming situations in a small package.",
Angenieux,Optimo,24-290mm,T2.8,4',PL,Academy 35,,1x,162mm,N/A,24.2lbs,Zoom,"<p><a href=""/lens?family=Optimo"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/044edcc4-44c2-4010-ae14-4be15c4ebc6d/5S5A3745+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/4ac052c6-842e-4888-ba4a-812808e0cdfc/5S5A3773+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/3fce1691-a85b-43ac-abf8-c440d721cc20/5S5A3788+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/ca33ca97-61cd-43df-8825-ca6d365371f7/5S5A3824+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/8677484f-81c4-4446-8278-7de43944c7e1/5S5A4733Edit+copy+2-1.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/5528c963-7cd4-46d2-93f6-53d9631181d5/5S5A4724Edit+copy+2-1.jpg?content-type=image%2Fjpeg","Angénieux Optimo Zooms are renowned professional cinema lenses celebrated for their exceptional optical quality, smooth zoom mechanics, and versatile focal ranges. Engineered for high-end film and television production, these lenses deliver stunning sharpness, beautiful color rendition, and a distinctive cinematic look. Their robust build ensures reliable performance on set, while the ergonomic design allows precise manual control. The Optimo Zoom series is a favorite among cinematographers who demand both flexibility and superior image quality in dynamic shooting environments.",
Angenieux,Optimo,15-40mm,T2.6,2',PL,Super 35,,1x,114mm,N/A,4.2lbs,Zoom,"<p><a href=""/lens?family=Optimo"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/044edcc4-44c2-4010-ae14-4be15c4ebc6d/5S5A3745+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/4ac052c6-842e-4888-ba4a-812808e0cdfc/5S5A3773+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/3fce1691-a85b-43ac-abf8-c440d721cc20/5S5A3788+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/ca33ca97-61cd-43df-8825-ca6d365371f7/5S5A3824+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/8677484f-81c4-4446-8278-7de43944c7e1/5S5A4733Edit+copy+2-1.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/5528c963-7cd4-46d2-93f6-53d9631181d5/5S5A4724Edit+copy+2-1.jpg?content-type=image%2Fjpeg","Angénieux Optimo Zooms are renowned professional cinema lenses celebrated for their exceptional optical quality, smooth zoom mechanics, and versatile focal ranges. Engineered for high-end film and television production, these lenses deliver stunning sharpness, beautiful color rendition, and a distinctive cinematic look. Their robust build ensures reliable performance on set, while the ergonomic design allows precise manual control. The Optimo Zoom series is a favorite among cinematographers who demand both flexibility and superior image quality in dynamic shooting environments.",
